o:id,o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:creator,dcterms:description,dcterms:date,dcterms:type,dcterms:identifier,dcterms:rights,dcterms:alternative,dcterms:isReplacedBy,dcterms:replaces,dcterms:isPartOf,dcterms:isReferencedBy,dcterms:references,dcterms:rightsHolder,bibo:identifier,bibo:shortDescription,foaf:gender,foaf:membershipClass,cidoc-crm:P7_took_place_at,cidoc-crm:P104_is_subject_to,cidoc-crm:P4_has_time-span,cidoc-crm:P53_has_former_or_current_location,cidoc-crm:P48_has_preferred_identifier,cidoc-crm:P108_has_produced,cidoc-crm:P152_has_parent,cidoc-crm:P107_has_current_or_former_member,cidoc-crm:P143_joined,cidoc-crm:P14_carried_out_by,cidoc-crm:P30_transferred_custody_of,cidoc-crm:P11_had_participant,cidoc-crm:P126_employed,cidoc-crm:P107i_is_current_or_former_member_of,cidoc-crm:P138_represents,cidoc-crm:P51_has_former_or_current_owner,cidoc-crm:P67_refers_to,cidoc-crm:P149_is_identified_by,cidoc-crm:P167_was_at,cidoc-crm:P29_custody_received_by,cidoc-crm:P19_was_intended_use_of,cidoc-crm:P139_has_alternative_form,cidoc-crm:P22_transferred_title_to,cidoc-crm:P131_is_identified_by,cidoc-crm:P8_took_place_on_or_within,cidoc-crm:P27i_was_origin_of,cidoc-crm:P7i_witnessed,cidoc-crm:P2_has_type,cidoc-crm:P50_has_current_keeper,cidoc-crm:P23_transferred_title_from,cidoc-crm:P159_occupied,cidoc-crm:P69_has_association_with,cidoc-crm:P168_place_is_defined_by,cidoc-crm:P3_has_note
24554,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1438–1450,,"Girolamo Lomellini","25121 | 24077 | 24731","24916 | 23190",,23440,,,,,,,,,b4bd7499-b467-4f8a-8ce0-4d2654aabff0,,,,,,"Girolamo Lomellini q. Oberto q. Battista",,,,,,,,,,
24535,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1452–1453,,"Giovanni Lomellini",,"23982 | 23213",,,,,,,,,,,fea1cd86-a646-41a4-a69d-01b1ba1c4f8f,,,,,,"Giovanni Lomellini q. Antoniotto q. Valerano",,,,,,,,,,
24534,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1432–1470,,"Giovanni Lomellini","24835 | 25047","24102 | 24050",,23206,,,,,,,,,413d03f2-0dfb-49a7-b641-4839151643e5,,,,,,"Giovanni Lomellini q. Benedetto q. Raffaele",,,,,,,,,,
24532,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,"nobiles | illegitimate",,,–1461,,"Giovanni Lomellini",,"23918 | 23216",,,,,,,,,,,2434b5dc-d4f7-4276-9baa-62910d0dba5c,,,,,,"Giovanni Lomellini q. Andalò q. Antoniotto",,,,,,,,,,
24513,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–,,"Giovanni Francesco Lomellini",,"24205 | 23070",,23514,,,,,,,,,5ec1d30c-f4ab-4057-87fe-1ed61d64a651,,,,,,"Giovanni Francesco Lomellini q. Cattaneo",,,,,,,,,,
24510,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,"Giovanni Francesco died before producing any children.",,,,,,,,,,,,,,male,nobiles,,,–1495,,"Giovanni Francesco Lomellini",,"24651 | 23220",,,,,,,,,,,24f43815-ecf1-48a6-a1fc-36ff1543d743,,,,,,"Giovanni Francesco Lomellini q. Lazzaro q. Egidio",,,,,,,,,,"See Battilana, Lomellini, plate 12."
24501,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–,,"Giovanni Battista Lomellini",,"24205 | 23070",,25448,,,,,,,,,9ad626d2-f9eb-48e5-a6ea-8d4ce6b34f4a,,,,,,"Giovanni Battista Lomellini q. Cattaneo",,,,,,,,,,
24500,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1549–1602,,"Giovanni Battista Lomellini",24205,"23890 | 25847",,,,,,,,,,,9ff73279-1ce5-473f-8bea-9cfb4fc238dc,,,,,,"Giovanni Battista Lomellini q. Agostino q. Giovanni Battista",,,,,,,,,,
24494,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1498–1527,,"Giovanni Battista Lomellini","24204 | 24584 | 23890 | 24199 | 24346","24202 | 24146",,25370,,,,,,,,,e695fd9f-7a32-43c7-8717-731ebe4124dc,,,,,,"Giovanni Battista Lomellini q. Cattaneo q. Sorleone",,,,,,,,,,
24439,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1592,,"Ginevra Lomellini",,"24167 | 24080",,23222,,,,,,,,,1cf1a645-d07e-4758-840d-69cab6296c6a,,,,,,"Ginevra Lomellini q. Carlo q. Bernardo",,,,,,,,,,
24435,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1438–1475,,"Giannotto Lomellini","23925 | 24821","25160 | 23350",,"23221 | 23995",,,,,,,,,3b0f103c-0a17-47a6-aa99-a023c510c1b3,,,,,,"Giannotto Lomellini q. Tobia q. Raffaele",,,,,,,,,,
24409,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1392–1434,,"Giacomo Lomellini","25197 | 23965 | 25003 | 24245 | 24806 | 24633 | 24975","25052 | 23804",,"23704 | 23218",,,,,,,,,35590e24-6450-4bcd-ab10-e38d62277bec,,,,,,"Giacomo Lomellini q. Raffaele q. Vincenzo",,,,,,,,,,
24371,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1418–1452,,"Franco Lomellini","25035 | 24926 | 24952 | 25146 | 24104",24370,,"25817 | 23191",,,,,,,,,ebe78b8e-2bf0-493a-9a54-ff23e708c52b,,,,,,"Franco Lomellini q. Franco q. Napoleone",,,,,,,,,,
24360,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1498–1514,,"Francisca Lomellini",,"24167 | 25544",,23202,,,,,,,,,ff3df7b5-82b1-4e0d-ac2f-06778f99e622,,,,,,"Francisca Lomellini q. Carlo",,,,,,,,,,
24350,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1467–1471,,"Francesco Lomellini","25054 | 24427","24837 | 23211",,,,,,,,,,,fb4b3ae3-d554-4b13-a9b5-5eedcaa0cdd7,,,,,,"Francesco Lomellini q. Martino q. Franco",,,,,,,,,,
24349,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1452–1489,,"Francesco Lomellini",24679,"23982 | 23213",,"23362 | 23735",,,,,,,,,889bc9bf-233e-42bc-8468-8d06f6386be8,,,,"Franceschetto Lomellini",,"Francesco Lomellini q. Antoniotto q. Valerano",,,,,,,,,,
24346,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1516–1524,,"Francesco Lomellini",,"24494 | 25370",,,,,,,,,,,76fe1066-905f-4695-9d01-d0a34d351313,,,,,,"Francesco Lomellini q. Giovanni Battista q. Cattaneo",,,,,,,,,,
24325,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1423–1453,,"Franca Lomellini",38611,"24752 | 23003",,"23228 | 25772",,,,,,,,,e761730f-60cf-4059-883b-b45b1553551d,,,,,,"Franca Lomellini q. Marchisio q. Franco",,,,,,,,,,
24301,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1460,,"Fabiano Lomellini",,"24837 | 23211",,,,,,,,,,,60910b26-0dd3-4b2d-bc89-ebfc2fe7fbf4,,,,,,"Fabiano Lomellini q. Martino q. Franco",,,,,,,,,,
24299,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1388,,"Fabiano Lomellini","24300 | 24203","24857 | 24261",,25487,,,,,,,,,7be78681-dba3-4771-9c7c-48207d7168d0,,,,,,"Fabiano Lomellini q. Morvello q. Daniele",,,,,,,,,,
24288,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1534–1539,,"Elisabetta Lomellini",,"24842 | 23623",,25522,,,,,,,,,4db58465-d4d2-4d93-9525-8d2b481998dc,,,,,,"Elisabetta Lomellini q. Matteo q. Cattaneo",,,,,,,,,,
24224,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–,,"Claudia Lomellini",,"25203 | 23203",,,,,,,,,,,79995c6e-7208-4921-95de-a5a176b8a61c,,,,,,"Claudia Lomellini q. Vincenzo q. Girolamo",,,,,,,,,,
24216,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,"nobiles | illegitimate",,,–1450,,"Chiara Lomellini",,"24916 | 23190",,23864,,,,,,,,,eaf77e7a-8b9e-4efa-a37d-26828f391e30,,,,,,"Chiara Lomellini q. Oberto q. Battista",,,,,,,,,,
24205,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1602–1639,,"Cattaneo Lomellini","24513 | 24494 | 23891",24500,,23070,,,,,,,,,383f1a9d-bcc6-4568-bcfb-cd6f2285e9f6,,,,,,"Cattaneo Lomellini q. Giovanni Battista q. Agostino",,,,,,,,,,
24204,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1524–1528,,"Cattaneo Lomellini",,"24494 | 25370",,23257,,,,,,,,,5dbd7872-ba51-4163-b820-e5132a99c9e2,,,,,,"Cattaneo Lomellini q. Giovanni Battista q. Cattaneo",,,,,,,,,,
24203,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1415,,"Cattaneo Lomellini",,"24299 | 25487",,,,,,,,,,,b0ad2f54-66cc-4c08-a9db-a68dcd8a263d,,,,,,"Cattaneo Lomellini q. Fabiano q. Morvello",,,,,,,,,,
24202,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1437–1444,,"Cattaneo Lomellini","24494 | 24983 | 25104 | 24842","25102 | 25330",,24146,,,,,,,,,aa6a3e5b-e96f-4a73-b9f0-f9863b197b79,,,,,,"Cattaneo Lomellini q. Sorleone q. Carlo",,,,,,,,,,
24201,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,"The sources indicate that Cattaneo died without any children.",,,,,,,,,,,,,,male,nobiles,,,–1467,,"Cattaneo Lomellini",24139,"24864 | 23660",,24724,,,,,,,,,e51506cf-2b62-4a9d-abc8-42521527ec9f,,,,,,"Cattaneo Lomellini q. Napoletano q. Vincenzo",,,,,,,,,,"See Battilana, Lomellini, plate 6."
24200,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1330–1354,,"Cattaneo Lomellini",24846,"23945 | 23021",,,,,,,,,,,c6c8e667-7222-480c-a58f-05af30828978,,,,,,"Cattaneo Lomellini q. Angelo q. Pietrino",,,,,,,,,,
24199,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1527–1528,,"Catetta Lomellini","24745 | 24947","24494 | 25370",,24424,,,,,,,,,24fc42e2-d7f1-42fa-a30b-a4fd311f1416,,,,,,"Catetta Lomellini q. Giovanni Battista q. Cattaneo",,,,,,,,,,
24192,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1444,,"Caterina Lomellini",,"24916 | 23190",,23270,,,,,,,,,00f58443-7d4d-42a4-8028-087af08771d7,,,,,,"Caterina Lomellini q. Oberto",,,,,,,,,,
24179,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1495,,"Caterina Lomellini",,"24651 | 23220",,,,,,,,,,,4ada80d2-afca-437e-9b9d-c1b246be5f92,,,,,,"Caterina Lomellini q. Lazzaro q. Egidio",,,,,,,,,,
24154,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1440–1444,,"Campiona Lomellini",,"24916 | 23190",,,,,,,,,,,f24c41f8-7566-4eda-8942-53b65c267540,,,,,,"Campiona Lomellini q. Oberto q. Battista",,,,,,,,,,
24146,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1412–1498,,"Brigida Lomellini","25104 | 24842 | 24983 | 24494","24074 | 23407",,24202,,,,,,,,,c4251f93-0623-4673-b490-7542ee91340f,,,,,,"Brigida Lomellini q. Battista q. Napoleone",,,,,,,,,,
24143,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1540–1544,,"Brigida Lomellini",,"24252 | 23596",,23542,,,,,,,,,7125ce06-5197-4027-ae69-e4a90f043b49,,,,,,"Brigida Lomellini q. Damiano q. Gherardo",,,,,,,,,,
24139,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,"The sources indicate that Brigida was an illegitimate child.",,,,,,,,,,,,,,female,nobiles,,,–1525,,"Brigida Lomellini",,24201,,,,,,,,,,,1ed28e25-d452-4658-9f37-5573d04380ce,,,,,,"Brigida Lomellini q. Cattaneo q. Napoletano",,,,,,,,,,"See Battilana, Lomellini, plate 6."
24109,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1564,,"Bernardo Lomellini",23950,"25104 | 23439",,,,,,,,,,,c280aef4-491b-43f2-8dfe-ac0fbfffd6ae,,,,,,"Bernardo Lomellini q. Sorleone q. Cattaneo",,,,,,,,,,
24103,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1488,,"Benedetto Lomellini",,"24420 | 23616",,23192,,,,,,,,,29fd3dd1-36a8-435a-bf10-e5dad69e5b68,,,,,,"Benedetto Lomellini q. Giacomo q. Tobia",,,,,,,,,,
24066,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1443,,"Battina Lomellini",25072,"23982 | 23213",,23910,,,,,,,,,48d56d19-d1c7-480c-a99c-22021d8b4dbc,,,,,,"Battina Lomellini q. Antoniotto q. Valerano",,,,,,,,,,
24064,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1550–1558,,"Battina Lomellini",24425,"24561 | 23433",,"25637 | 24898",,,,,,,,,902243cf-9780-4d04-8fcc-40478e569ebd,,,,,,"Battina Lomellini q. Girolamo q. Agostino",,,,,,,,,,
24038,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,"nobiles | illegitimate",,,–1450,,"Bartolomeo Lomellini",,"24916 | 23190",,,,,,,,,,,ea495822-3916-478e-8cbc-8bec50c21713,,,,,,"Bartolomeo Lomellini q. Oberto",,,,,,,,,,
24033,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1495,,"Bartolomeo Lomellini",,"24651 | 23220",,,,,,,,,,,02372753-c52f-466a-a660-457175fd4407,,,,,,"Bartolomeo Lomellini q. Lazzaro q. Egidio",,,,,,,,,,
24017,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,"nobiles | illegitimate",,,–1450,,"Barnaba Lomellini",,"24916 | 23190",,,,,,,,,,,ede8b238-39da-4e29-beb2-9b4d6525f479,,,,,,"Barnaba Lomellini q. Oberto q. Battista",,,,,,,,,,
23995,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1451–1489,,"Argenta Lomellini",23925,"23982 | 23213",,24435,,,,,,,,,83152b76-fd9a-4727-a23a-75040836dba7,,,,"Antonia Lomellini q. Antonio q. Valerano",,"Argenta Lomellini q. Antoniotto q. Valerano",,,,,,,,,,
23990,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1439,,"Argenta Lomellini",25652,"24916 | 23190",,25656,,,,,,,,,c40d6993-af78-4db2-9cef-5fabb0fb1bb0,,,,,,"Argenta Lomellini q. Oberto q. Battista",,,,,,,,,,
23989,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1396,,"Argenta Lomellini",,"24889 | 23849",,23189,,,,,,,,,628cbee7-f487-41c8-83a9-b4993f5bf78e,,,,,,"Argenta Lomellini q. Niccolò q. Napoleone",,,,,,,,,,
23982,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1414–1438,,"Antoniotto Lomellini","24535 | 24066 | 24349 | 23938 | 23995","25195 | 23987",,23213,,,,,,,,,93edd262-93c2-4d53-a5c4-d018fb2c97bc,,,,"Antonio Lomellini",,"Antoniotto Lomellini q. Valerano q. Cosmo",,,,,,,,,,
23965,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1455–1468,,"Antonio Lomellini",,"24409 | 23218",,,,,,,,,,,645bd30b-ef91-4ee6-a34e-2cc6828fabb8,,,,,,"Antonio Lomellini q. Giacomo q. Raffaele",,,,,,,,,,
23945,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1313–1333,,"Angelo Lomellini","24770 | 24168 | 24606 | 25057 | 24200 | 24617 | 24693 | 24919 | 24847 | 24751 | 24305 | 24277 | 23873 | 25125","25022 | 23049",,23021,,,,,,,,,039500c1-943a-4095-b467-38d29bc27196,,,,,,"Angelo Lomellini q. Pietrino q. Simone",,,,,,,,,,
23938,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,"The sources indicate that Angela died in infancy.",,,,,,,,,,,,,,female,nobiles,,,–,,"Angela Lomellini",,"23982 | 23213",,,,,,,,,,,c82d6560-73f1-4527-b9dd-895321376c3d,,,,,,"Angela Lomellini q. Antoniotto q. Valerano",,,,,,,,,,"See Battilana, Lomellini, plate 4."
23932,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,"The sources indicate that Andreola had changed her name to Orietta at some future date, after her marriage to Luchino Cattaneo.",,,,,,,,,,,,,,female,nobiles,,,1330–1347,,"Andreola Lomellini",,"24101 | 23017",,23217,,,,,,,,,b3dcd007-badb-4dec-abe3-039ef462f0cf,,,,"Andreola poi Orietta Lomellini",,"Andreola Lomellini q. Benedetto q. Oberto",,,,,,,,,,"See Battilana, Lomellini, plate 8."
23918,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1412–1464,,"Andalò Lomellini","24780 | 24532","23981 | 24787",,23216,,,,,,,,,a2bd8405-d129-46a4-8f98-896d3c6a0323,,,,,,"Andalò Lomellini q. Antoniotto q. Ambrogio",,,,,,,,,,
23891,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1643,,"Agostino Lomellini",,"24205 | 23070",,"23013 | 23074",,,,,,,,,a8ae7faa-7784-447d-a104-2d463af3ab90,,,,,,"Agostino Lomellini q. Cattaneo",,,,,,,,,,
23890,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1528–1577,,"Agostino Lomellini","24500 | 24195 | 24015 | 24826","24494 | 25370",,25847,,,,,,,,,3e5f9e0d-849a-4687-8431-37e24a383491,,,,,,"Agostino Lomellini q. Giovanni Battista q. Cattaneo",,,,,,,,,,
23660,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1451–1468,,"Brigida Grimaldi",24201,23662,,24864,,,,,,,,,f47e78b1-fccd-41cb-9ef0-4307a5cefbae,,,,,,"Brigida Grimaldi q. Cattaneo",,,,,,,,,,
23542,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–,,"Cattaneo Gentile",,23581,,24143,,,,,,,,,b761ad94-b4ed-4d89-a30c-e7310571cb5d,,,,"Cattaneo Gentile Falamonica",,"Cattaneo Gentile q. Pietro",,,,,,,,,,
23257,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–,,"Gironima Centurione",,23259,,24204,,,,,,,,,90105f45-fa20-4f9d-adfd-027fda15f456,,,,"Gironima Centurione Cantelli",,"Gironima Centurione q. Giuliano",,,,,,,,,,
23228,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–,,"Raffaele Cattaneo",,23227,,24325,,,,,,,,,9ca23542-7f45-47a9-af71-835d3864af34,,,,"Raffaele Cattaneo de Volta",,"Raffaele Cattaneo q. Quirico",,,,,,,,,,
23222,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–,,"Niccolò Cattaneo",,,,24439,,,,,,,,,190fa4c8-7888-407a-9e15-babcb2cfc7e3,,,,,,,,,,,,,,,,
23221,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–,,"Maria Cattaneo",,23186,,24435,,,,,,,,,e003adcc-f5af-4239-8855-4b0d39bd2b62,,,,,,"Maria Cattaneo q. Argone",,,,,,,,,,
23220,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–,,"Maria Cattaneo","24033 | 24510 | 24976 | 24179 | 24936",23209,,24651,,,,,,,,,861ed6af-8c57-4d74-af3a-676cbfeeb5b5,,,,,,"Maria Cattaneo q. Lazzaro",,,,,,,,,,
23219,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–,,"Marcoaldo Cattaneo",,23226,,24853,,,,,,,,,0509e0e8-ed99-4c2c-9212-a380b975b470,,,,"Marcoaldo Cattaneo Mallone",,"Marcoaldo Cattaneo Mallone q. Pignolo",,,,,,,,,,
23218,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–,,"Maddalena Cattaneo","23965 | 25197",,,24409,,,,,,,,,b20761a6-e68c-4a3a-9a26-d2c9a29e3fd8,,,,,,,,,,,,,,,,
23217,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–,,"Luchino Cattaneo",,25586,,23932,,,,,,,,,ca71aaee-1527-4436-acca-238efb86d8da,,,,"Lucchino Cattaneo",,"Luchino Cattaneo q. Alberto",,,,,,,,,,
23216,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1464,,"Lucchina Cattaneo","24532 | 24780",23210,,23918,,,,,,,,,ebdf255a-0e41-4b3a-acce-2b7f95e30ce0,,,,,,"Lucchina Cattaneo q. Leonardo",,,,,,,,,,
23214,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–1510,,"Lorenzo Cattaneo",,23194,,24586,,,,,,,,,6e372af5-057c-4b05-8207-28c0071fb9fe,,,,,,"Lorenzo Cattaneo q. Cristoforo",,,,,,,,,,
23213,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,1427–1451,,"Lombarda Cattaneo","24066 | 23995 | 24349 | 23938 | 24535",23207,,23982,,,,,,,,,49c4575f-e408-4f41-8c83-a240c7ba8089,,,,,,"Lombarda Cattaneo q. Isnardo",,,,,,,,,,
23211,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–,,"Linò Cattaneo","24301 | 25149 | 25001 | 24350",23230,,24837,,,,,,,,,4e717e8d-ec0b-4a0b-bfb2-60b292af4ce4,,,,,,"Linò Cattaneo q. Teramo",,,,,,,,,,
23206,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–,,"Gironima Cattaneo","25047 | 24835",23215,,24534,,,,,,,,,c70cf9f9-a298-49b3-804b-a4e96939b64c,,,,"Gironima Cattaneo Mallone",,"Gironima Cattaneo q. Luca",,,,,,,,,,
23204,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–,,"Giovanni Cattaneo",,23185,,25064,,,,,,,,,28379a71-a06c-4fe9-a544-9d3ef8da6079,,,,,,"Giovanni Cattaneo q. Antoniotto",,,,,,,,,,
23203,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,female,nobiles,,,–1568,,"Ginevra Cattaneo","24224 | 24894",23205,,25203,,,,,,,,,4d159acf-21f7-445c-9fe9-f4a408eb6d7d,,,,,,"Ginevra Cattaneo q. Girolamo",,,,,,,,,,
23202,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1464–1514,,"Giacomo Cattaneo",,23212,,24360,,,,,,,,,9182c3eb-fb0b-4aca-9438-cecaa77cf931,,,,"Giacomo Cattaneo Mallone",,"Giacomo Cattaneo Mallone q. Lodisio",,,,,,,,,,
23199,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,–,,"Filippo Cattaneo",,23208,,24593,,,,,,,,,f451e2f6-c6bd-49f7-9bd9-7ebada821860,,,,,,"Filippo Cattaneo q. Isnardo",,,,,,,,,,
